group,total_pages,pages_with_prior_group,exact_hit_count,exact_hit_rate,exact_hit_rate_given_prior,current_cache_config_hit_count,current_cache_config_hit_rate,current_cache_config_hit_rate_given_prior,min_dhash_p50,min_dhash_p90,min_dhash_p95,max_tile_p50,max_tile_p90,max_tile_p95,dhash_le_0_count,dhash_le_0_rate,dhash_le_2_count,dhash_le_2_rate,dhash_le_4_count,dhash_le_4_rate,dhash_le_8_count,dhash_le_8_rate,dhash_le_16_count,dhash_le_16_rate,tile_ge_0.9_count,tile_ge_0.9_rate,tile_ge_0.95_count,tile_ge_0.95_rate,tile_ge_0.98_count,tile_ge_0.98_rate,tile_ge_0.99_count,tile_ge_0.99_rate
overall,4273,4272,16,0.003744441844137608,0.003745318352059925,210,0.04914579920430611,0.04915730337078652,11.0,17.0,19.0,0.25,0.84375,0.9296875,225,0.05265621343318511,534,0.12497074654809268,807,0.1888602855136906,1572,0.36789141118652,3676,0.8602855136906155,292,0.06833606365551136,153,0.035806225134565876,63,0.014743739761291832,41,0.009595132225602621
same_episode,4273,3490,15,0.0035104142288790077,0.004297994269340974,173,0.04048677743973789,0.0495702005730659,18.0,29.0,32.0,0.11328125,0.84375,0.9375,168,0.039316639363444886,356,0.08331383103206179,501,0.11724783524455885,801,0.187456119822139,1603,0.37514626725953665,248,0.05803884858413293,137,0.03206178329042827,59,0.01380762930025743,38,0.00889304937982682
cross_episode,4273,4270,1,0.0002340276152586005,0.000234192037470726,37,0.008659021764568219,0.008665105386416861,13.0,18.0,19.0,0.109375,0.55078125,0.681640625,59,0.01380762930025743,189,0.044231219283875495,341,0.07980341680318277,969,0.2267727591855839,3499,0.8188626257898433,44,0.010297215071378422,16,0.003744441844137608,4,0.000936110461034402,3,0.0007020828457758015
same_task,4273,3490,15,0.0035104142288790077,0.004297994269340974,173,0.04048677743973789,0.0495702005730659,18.0,29.0,32.0,0.11328125,0.84375,0.9375,168,0.039316639363444886,356,0.08331383103206179,501,0.11724783524455885,801,0.187456119822139,1603,0.37514626725953665,248,0.05803884858413293,137,0.03206178329042827,59,0.01380762930025743,38,0.00889304937982682
cross_task,4273,4270,1,0.0002340276152586005,0.000234192037470726,37,0.008659021764568219,0.008665105386416861,13.0,18.0,19.0,0.109375,0.55078125,0.681640625,59,0.01380762930025743,189,0.044231219283875495,341,0.07980341680318277,969,0.2267727591855839,3499,0.8188626257898433,44,0.010297215071378422,16,0.003744441844137608,4,0.000936110461034402,3,0.0007020828457758015
