history_episode_count,page_count,exact_hit_rate,current_cache_config_hit_rate,dhash_le_4_hit_rate,tile_ge_0.98_hit_rate
50,280,0.0035714285714285713,0.014285714285714285,0.10357142857142858,0.007142857142857143
100,568,0.0017605633802816902,0.03169014084507042,0.13732394366197184,0.008802816901408451
200,1094,0.0018281535648994515,0.04021937842778794,0.1480804387568556,0.011882998171846435
500,2707,0.004063538973032878,0.0421130402659771,0.16882157369782047,0.012560029553010712
