pair_id,layer_id,token_manhattan_distance,token_count,cosine_distance,relative_l2_distance
pair_000001,final,60,12,"{""count"": 12, ""mean"": 1.9480784734090168e-05, ""median"": 4.4405460357666016e-06, ""p90"": 3.387928009033204e-05, ""min"": 2.384185791015625e-07, ""max"": 0.00013560056686401367, ""std"": 3.653868304835085e-05}","{""count"": 12, ""mean"": 0.030389813808142208, ""median"": 0.020817366428673267, ""p90"": 0.05013568848371506, ""min"": 0.0004906800459139049, ""max"": 0.11333738267421722, ""std"": 0.02884692836586131}"
pair_000001,final,61,11,"{""count"": 11, ""mean"": 1.6786835410378195e-05, ""median"": 4.5299530029296875e-06, ""p90"": 2.086162567138672e-05, ""min"": 4.172325134277344e-07, ""max"": 0.00011849403381347656, ""std"": 3.2834780611951114e-05}","{""count"": 11, ""mean"": 0.03031794299286875, ""median"": 0.01356426253914833, ""p90"": 0.09251570701599121, ""min"": 0.004873189609497786, ""max"": 0.1327454149723053, ""std"": 0.040154476018852234}"
pair_000001,final,62,10,"{""count"": 10, ""mean"": 1.940131187438965e-05, ""median"": 1.3709068298339844e-06, ""p90"": 5.708336830139159e-05, ""min"": -2.384185791015625e-07, ""max"": 7.891654968261719e-05, ""std"": 2.8998186502640428e-05}","{""count"": 10, ""mean"": 0.033578427694737914, ""median"": 0.013695289380848408, ""p90"": 0.057036777213215775, ""min"": 0.004469550214707851, ""max"": 0.1815740317106247, ""std"": 0.050830580391431346}"
pair_000001,final,63,9,"{""count"": 9, ""mean"": 1.1006991068522135e-05, ""median"": 6.198883056640625e-06, ""p90"": 2.7346611022949216e-05, ""min"": 5.960464477539062e-07, ""max"": 2.8014183044433594e-05, ""std"": 1.052917919806015e-05}","{""count"": 9, ""mean"": 0.016632970060325332, ""median"": 0.021513234823942184, ""p90"": 0.026624148711562157, ""min"": 0.0029184632003307343, ""max"": 0.02683001570403576, ""std"": 0.008986116874191489}"
pair_000001,final,64,8,"{""count"": 8, ""mean"": 4.105269908905029e-06, ""median"": 9.238719940185547e-07, ""p90"": 1.341104507446289e-05, ""min"": 1.1920928955078125e-07, ""max"": 1.6748905181884766e-05, ""std"": 6.051077914735215e-06}","{""count"": 8, ""mean"": 0.00842865487356903, ""median"": 0.0068983405362814665, ""p90"": 0.020665898360311984, ""min"": 0.0005466536385938525, ""max"": 0.021543219685554504, ""std"": 0.00785390379648896}"
pair_000001,final,65,7,"{""count"": 7, ""mean"": 9.281294686453684e-06, ""median"": 2.9206275939941406e-06, ""p90"": 2.412796020507814e-05, ""min"": 2.980232238769531e-07, ""max"": 4.9591064453125e-05, ""std"": 1.6596097005874533e-05}","{""count"": 7, ""mean"": 0.015396439112789397, ""median"": 0.017282111570239067, ""p90"": 0.03070221766829491, ""min"": 0.0006755864014849067, ""max"": 0.040028978139162064, ""std"": 0.01327868342971346}"
pair_000001,final,66,6,"{""count"": 6, ""mean"": 8.434057235717773e-06, ""median"": 5.453824996948242e-06, ""p90"": 1.874566078186035e-05, ""min"": 1.0132789611816406e-06, ""max"": 2.2470951080322266e-05, ""std"": 8.125838795891778e-06}","{""count"": 6, ""mean"": 0.027313995563114684, ""median"": 0.03208160027861595, ""p90"": 0.04182448238134384, ""min"": 0.006739423144608736, ""max"": 0.04339465871453285, ""std"": 0.01456233266704564}"
pair_000001,final,67,5,"{""count"": 5, ""mean"": 1.678466796875e-05, ""median"": 3.2186508178710938e-06, ""p90"": 4.40359115600586e-05, ""min"": 5.960464477539063e-08, ""max"": 5.984306335449219e-05, ""std"": 2.278714802824153e-05}","{""count"": 5, ""mean"": 0.02868016418069601, ""median"": 0.01763719506561756, ""p90"": 0.057542264461517334, ""min"": 0.006285872310400009, ""max"": 0.0677504912018776, ""std"": 0.023244434820901817}"
pair_000001,final,68,4,"{""count"": 4, ""mean"": 3.4570693969726562e-06, ""median"": 2.652406692504883e-06, ""p90"": 6.93202018737793e-06, ""min"": 5.364418029785156e-07, ""max"": 7.987022399902344e-06, ""std"": 3.0395446898706233e-06}","{""count"": 4, ""mean"": 0.023286785450181924, ""median"": 0.005656424909830093, ""p90"": 0.058921219361946, ""min"": 0.0007757450803183019, ""max"": 0.0810585469007492, ""std"": 0.0334334167479869}"
pair_000001,final,69,3,"{""count"": 3, ""mean"": 1.4106432596842449e-06, ""median"": 1.7285346984863281e-06, ""p90"": 2.0623207092285157e-06, ""min"": 3.5762786865234375e-07, ""max"": 2.1457672119140625e-06, ""std"": 7.638288651601905e-07}","{""count"": 3, ""mean"": 0.02705229725688696, ""median"": 0.028831707313656807, ""p90"": 0.03644733466207981, ""min"": 0.013973942957818508, ""max"": 0.03835124149918556, ""std"": 0.010031214487998095}"
pair_000001,final,70,2,"{""count"": 2, ""mean"": 6.258487701416016e-07, ""median"": 6.258487701416016e-07, ""p90"": 8.404254913330078e-07, ""min"": 3.5762786865234375e-07, ""max"": 8.940696716308594e-07, ""std"": 2.682209014892578e-07}","{""count"": 2, ""mean"": 0.013044537976384163, ""median"": 0.013044537976384163, ""p90"": 0.013271230831742288, ""min"": 0.012761171907186508, ""max"": 0.013327904045581818, ""std"": 0.0002833660691976547}"
pair_000001,final,71,1,"{""count"": 1, ""mean"": 2.5331974029541016e-05, ""median"": 2.5331974029541016e-05, ""p90"": 2.5331974029541016e-05, ""min"": 2.5331974029541016e-05, ""max"": 2.5331974029541016e-05, ""std"": 0.0}","{""count"": 1, ""mean"": 0.008570893667638302, ""median"": 0.008570893667638302, ""p90"": 0.008570893667638302, ""min"": 0.008570893667638302, ""max"": 0.008570893667638302, ""std"": 0.0}"
