pair_id,layer_id,feature_boundary,episode_id,step_id,app,hit_type,pixel_changed_ratio,feature_metric,threshold,feature_changed_ratio,feature_source,feature_token_count,visual_token_count,visual_token_grid,processor_merge_size,alignment_method,page_tile_unchanged_ratio,changed_region_feature_mean,unchanged_region_feature_mean,error
pair_000090,final,model_ready_visual,7880,7,,patch_candidate,0.1484375,cosine_distance,0.005,0.3050397877984085,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8515625,0.03557380575400133,0.017226291253016546,
pair_000091,final,model_ready_visual,7880,10,,patch_candidate,0.0703125,cosine_distance,0.005,0.32891246684350134,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9296875,0.07137469811873003,0.015776095591800314,
pair_000092,final,model_ready_visual,7880,11,,near,0.046875,cosine_distance,0.005,0.06631299734748011,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.953125,0.01017599966790941,0.0015922975739396715,
pair_000093,final,model_ready_visual,7880,12,,patch_candidate,0.0703125,cosine_distance,0.005,0.14058355437665782,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9296875,0.03675859980285168,0.006283654337343962,
pair_000094,final,model_ready_visual,7880,13,,near,0.015625,cosine_distance,0.005,0.06631299734748011,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.01861076056957245,0.0021800346093267284,
pair_000095,final,model_ready_visual,7920,1,,patch_candidate,0.109375,cosine_distance,0.005,0.46684350132625996,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.890625,0.07690679891542955,0.036666347636832845,
pair_000096,final,model_ready_visual,7920,3,,patch_candidate,0.0703125,cosine_distance,0.005,0.6153846153846154,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9296875,0.06319333612918854,0.03694164291835446,
pair_000097,final,model_ready_visual,8040,6,,patch_candidate,0.0546875,cosine_distance,0.005,0.08488063660477453,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.027909114956855774,0.0027209517037769435,
pair_000098,final,model_ready_visual,8180,12,,patch_candidate,0.09375,cosine_distance,0.005,0.3713527851458886,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.90625,0.06551034219803349,0.016543420408502478,
pair_000099,final,model_ready_visual,8422,9,,patch_candidate,0.1328125,cosine_distance,0.005,0.3687002652519894,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8671875,0.09656055430148511,0.02452618172674468,
pair_000100,final,model_ready_visual,8622,9,,patch_candidate,0.0546875,cosine_distance,0.005,0.19363395225464192,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.05374694988131523,0.010225934665288951,
