pair_id,kv_boundary,kv_scope,layer_id,kv_kind,episode_id,step_id,app,hit_type,pixel_changed_ratio,kv_metric,threshold,kv_changed_ratio,kv_token_count,visual_token_grid,processor_merge_size,alignment_method,visual_position_source,input_token_count,visual_token_position_count,text_token_position_count,page_tile_unchanged_ratio,changed_region_kv_mean,unchanged_region_kv_mean,error
pair_000001,prefill_past_key_values,visual_tokens,6,key,60,4,,near,0.0078125,cosine_distance,0.005,0.27055702917771884,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.00839783251285553,0.016580725802812755,
pair_000001,prefill_past_key_values,text_tokens,6,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,6,value,60,4,,near,0.0078125,cosine_distance,0.005,0.32891246684350134,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.010969579219818115,0.02228521214093983,
pair_000001,prefill_past_key_values,text_tokens,6,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,7,key,60,4,,near,0.0078125,cosine_distance,0.005,0.32891246684350134,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.007862597703933716,0.01850010115083996,
pair_000001,prefill_past_key_values,text_tokens,7,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,7,value,60,4,,near,0.0078125,cosine_distance,0.005,0.4403183023872679,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.014676526188850403,0.03592944273041017,
pair_000001,prefill_past_key_values,text_tokens,7,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,8,key,60,4,,near,0.0078125,cosine_distance,0.005,0.41114058355437666,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.018916457891464233,0.022643559899470762,
pair_000001,prefill_past_key_values,text_tokens,8,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,8,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5013262599469496,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.03631331026554108,0.04133533632467643,
pair_000001,prefill_past_key_values,text_tokens,8,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0011792452830188679,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,9,key,60,4,,near,0.0078125,cosine_distance,0.005,0.4376657824933687,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.04898717999458313,0.02676046294117741,
pair_000001,prefill_past_key_values,text_tokens,9,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,9,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5013262599469496,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.09517170488834381,0.05600847699367329,
pair_000001,prefill_past_key_values,text_tokens,9,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0023584905660377358,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,10,key,60,4,,near,0.0078125,cosine_distance,0.005,0.46153846153846156,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.07820279896259308,0.046779818253606636,
pair_000001,prefill_past_key_values,text_tokens,10,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,10,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5119363395225465,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.11387503147125244,0.07713573116399647,
pair_000001,prefill_past_key_values,text_tokens,10,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0023584905660377358,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,11,key,60,4,,near,0.0078125,cosine_distance,0.005,0.493368700265252,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.06935325264930725,0.05313137756915259,
pair_000001,prefill_past_key_values,text_tokens,11,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0023584905660377358,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,11,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5994694960212201,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.1653648167848587,0.10710481536292518,
pair_000001,prefill_past_key_values,text_tokens,11,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0047169811320754715,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,12,key,60,4,,near,0.0078125,cosine_distance,0.005,0.5013262599469496,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.07911314070224762,0.061712752238675034,
pair_000001,prefill_past_key_values,text_tokens,12,key,60,4,,near,0.0078125,cosine_distance,0.005,0.0023584905660377358,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,12,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5358090185676393,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.16356277465820312,0.11572109086903426,
pair_000001,prefill_past_key_values,text_tokens,12,value,60,4,,near,0.0078125,cosine_distance,0.005,0.00589622641509434,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,13,key,60,4,,near,0.0078125,cosine_distance,0.005,0.4880636604774536,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.10726422071456909,0.06951059828494893,
pair_000001,prefill_past_key_values,text_tokens,13,key,60,4,,near,0.0078125,cosine_distance,0.005,0.003537735849056604,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,13,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5702917771883289,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.18680155277252197,0.1350673425932672,
pair_000001,prefill_past_key_values,text_tokens,13,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0047169811320754715,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,14,key,60,4,,near,0.0078125,cosine_distance,0.005,0.4986737400530504,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.12080207467079163,0.07538560983642496,
pair_000001,prefill_past_key_values,text_tokens,14,key,60,4,,near,0.0078125,cosine_distance,0.005,0.003537735849056604,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,14,value,60,4,,near,0.0078125,cosine_distance,0.005,0.5623342175066313,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.11190111935138702,0.09851637586511812,
pair_000001,prefill_past_key_values,text_tokens,14,value,60,4,,near,0.0078125,cosine_distance,0.005,0.003537735849056604,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,15,key,60,4,,near,0.0078125,cosine_distance,0.005,0.5305039787798409,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.11453621089458466,0.08342631173197769,
