dimension,value,kv_scope,kv_kind,layer_id,threshold,kv_metric,row_count,pixel_changed_ratio,kv_changed_ratio,correlation
app,unknown,text_tokens,key,11,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0002534973443438553, ""median"": 0.0, ""p90"": 0.0011500896950368746, ""min"": 0.0, ""max"": 0.0011876484560570072, ""std"": 0.00047741769939587455}",0.06536758473372827
app,unknown,text_tokens,key,12,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.005606854323190794, ""median"": 0.005157042476754015, ""p90"": 0.0114429582098081, ""min"": 0.0, ""max"": 0.01182033096926714, ""std"": 0.003675536599854114}",0.2744892835509956
app,unknown,text_tokens,key,12,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0033461538415536767, ""median"": 0.002355712603062426, ""p90"": 0.007039817747956732, ""min"": 0.0, ""max"": 0.011764705882352941, ""std"": 0.002690065876472458}",0.2885147518656302
app,unknown,text_tokens,key,12,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0011551940379905374, ""median"": 0.0011370100320612264, ""p90"": 0.0023526883281091687, ""min"": 0.0, ""max"": 0.004728132387706856, ""std"": 0.0011937561796384795}",0.34398828858606717
app,unknown,text_tokens,key,12,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0006705762194856545, ""median"": 0.0, ""p90"": 0.0011838536030021503, ""min"": 0.0, ""max"": 0.0035460992907801418, ""std"": 0.000827026556953465}",0.3022733689106507
app,unknown,text_tokens,key,12,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.00038057562575344176, ""median"": 0.0, ""p90"": 0.0011674083234270972, ""min"": 0.0, ""max"": 0.002380952380952381, ""std"": 0.0005913863270518432}",0.09151516317041758
app,unknown,text_tokens,key,13,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.006446117359288268, ""median"": 0.0063183114418683545, ""p90"": 0.0114429582098081, ""min"": 0.0, ""max"": 0.01182033096926714, ""std"": 0.003913694768954974}",0.3317850942847718
app,unknown,text_tokens,key,13,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0037079371649295333, ""median"": 0.0023696715730660437, ""p90"": 0.009184190830295274, ""min"": 0.0, ""max"": 0.011764705882352941, ""std"": 0.003076130952598442}",0.21845195871449774
app,unknown,text_tokens,key,13,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0013967760785453187, ""median"": 0.0011594206794944522, ""p90"": 0.0034129692832764505, ""min"": 0.0, ""max"": 0.005834305717619603, ""std"": 0.0012696965824089638}",0.3164101574089414
app,unknown,text_tokens,key,13,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0008327559145167947, ""median"": 0.0011274014477003933, ""p90"": 0.0022454272454272457, ""min"": 0.0, ""max"": 0.0035714285714285713, ""std"": 0.000887225246073026}",0.3072997692751092
app,unknown,text_tokens,key,13,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.00046211132287321495, ""median"": 0.0, ""p90"": 0.001172608461461104, ""min"": 0.0, ""max"": 0.002380952380952381, ""std"": 0.0006569992599168582}",0.1147685240916932
app,unknown,text_tokens,key,14,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.006757992498572185, ""median"": 0.00786959214367867, ""p90"": 0.011406422456418673, ""min"": 0.0, ""max"": 0.011876484560570071, ""std"": 0.003772139426464851}",0.3767817019569584
app,unknown,text_tokens,key,14,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.003971026327998809, ""median"": 0.0033557214926329274, ""p90"": 0.009483361820318338, ""min"": 0.0, ""max"": 0.011764705882352941, ""std"": 0.0032774562377936257}",0.23970272841663742
app,unknown,text_tokens,key,14,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.001466580737007817, ""median"": 0.0011594206794944522, ""p90"": 0.003413747611505248, ""min"": 0.0, ""max"": 0.004728132387706856, ""std"": 0.0012642271559649616}",0.3396488142125546
app,unknown,text_tokens,key,14,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.000809422226270535, ""median"": 0.0011248593925759281, ""p90"": 0.0022454272454272457, ""min"": 0.0, ""max"": 0.0035714285714285713, ""std"": 0.0008292940797542526}",0.28103000769725933
app,unknown,text_tokens,key,14,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.00043847451218405234, ""median"": 0.0, ""p90"": 0.0011723329425556857, ""min"": 0.0, ""max"": 0.002380952380952381, ""std"": 0.000630127152462715}",0.12871208466904982
app,unknown,text_tokens,key,15,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.007539140474665556, ""median"": 0.009367694343322158, ""p90"": 0.011672710479068916, ""min"": 0.0, ""max"": 0.011890606420927468, ""std"": 0.004122533183906655}",0.39050109738043776
app,unknown,text_tokens,key,15,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.004428879410330928, ""median"": 0.00338220434310118, ""p90"": 0.011376564277588168, ""min"": 0.0, ""max"": 0.01182033096926714, ""std"": 0.0037291947572619224}",0.21084437070460746
app,unknown,text_tokens,key,15,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0014218773794158657, ""median"": 0.001158077979485859, ""p90"": 0.003371599958630675, ""min"": 0.0, ""max"": 0.005834305717619603, ""std"": 0.001309432868195142}",0.36754191367964045
app,unknown,text_tokens,key,15,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0008669424507701322, ""median"": 0.0011248593925759281, ""p90"": 0.0022812844912837344, ""min"": 0.0, ""max"": 0.0035714285714285713, ""std"": 0.0009043144661133105}",0.3223096443828249
app,unknown,text_tokens,key,15,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0004391893762341344, ""median"": 0.0, ""p90"": 0.001173846841330001, ""min"": 0.0, ""max"": 0.002380952380952381, ""std"": 0.0006309465684181752}",0.1373770954173172
app,unknown,text_tokens,key,2,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,2,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,2,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,2,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,2,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
